"country_id","region","code","default_name","name:ar_SA"
"AE","Sharjah",,"Yarmook","يرموك"
"AE","Sharjah",,"Sherqan","شرقان"
"AE","Sharjah",,"Umm Kanoor","أم خانور"
"AE","Sharjah",,"Saif","صافي"
"AE","Sharjah",,"Samnan","سمنان"
"AE","Sharjah",,"Shahba","شحبا"
"AE","Sharjah",,"Rolla","رولة"
"AE","Sharjah",,"Ramaqiya","الرماقية"
"AE","Sharjah",,"Ramtha","رمثة"
"AE","Sharjah",,"Nabbah","النبًا"
"AE","Sharjah",,"Nakheelat","نخيلات"
"AE","Sharjah",,"Nasariya","الناصرية"
"AE","Sharjah",,"Qasimiya","القاسمية"
"AE","Sharjah",,"Abu Shagara","أبو شغارة"
"AE","Sharjah",,"Al Azrah","العذراء"
"AE","Sharjah",,"Al Fahiya","الفيحاء"
"AE","Sharjah",,"Al Khan","الخان"
"AE","Sharjah",,"Al Falaj","الفلج"
"AE","Sharjah",,"Al Hamriyah","الحمرية"
"AE","Sharjah",,"Al Manakh","المناخ"
"AE","Sharjah",,"Al Qazimiya","القاسمية"
"AE","Sharjah",,"Al Rafa'ah","الرفاعة"
"AE","Sharjah",,"Ghafia","الغافية"
"AE","Sharjah",,"Ghubaiba","الغبيبة"
"AE","Sharjah",,"Dasman","دسمان"
"AE","Sharjah",,"Dhaid","الذيد"
"AE","Sharjah",,"Al Tawoon","التعاون"
"AE","Sharjah",,"Al Wasit","الواسيط"
"AE","Sharjah",,"Badiyah","البادية"
"AE","Sharjah",,"Buteena","بطينة"
"AE","Sharjah",,"Jazzat","جازات"
"AE","Sharjah",,"Khannur","خانور"
"AE","Sharjah",,"Kharayan","كارايان"
"AE","Sharjah",,"Layyah","اللية"
"AE","Sharjah",,"Maisaloon","ميسلون"
"AE","Sharjah",,"Majjarah","مجرة"
"AE","Sharjah",,"Mansoora","منصورة"
"AE","Sharjah",,"Muwafja","موافجة"
"AE","Sharjah",,"Sharjah","الشارقة"
"AE","Umm Al Quwain",,"Umm Al Quiwan","أم القيوين"
"AE","Umm Al Quwain",,"Falaj Al Mulla","فلج المعلا"
