"Affiliate Banners","Banners de afiliados"
"Holding Transaction For","Transação de Holding Para"
"Transaction","Transação"
"Are you sure you want to cancel this transaction?","Tem certeza de que deseja cancelar esta transação?"
"Are you sure you want to complete this transaction?","Tem certeza de que deseja concluir esta transação?"
"Complete","Completo"
"View Transaction '%1'","Exibir transação '%1'"
"Affiliate Account","Conta de Afiliado"
"Type","Tipo"
"Order","Ordem"
"Created by","Criado por"
"This transaction will be holed to","Esta transação será furada"
"Created Time","Tempo criado"
"Save and Approve","Salvar e aprovar"
"Save","Salvar"
"New Withdraw","Nova retirada"
"Withdraw Information","Retirar informações"
"Include fee.","Incluir taxa."
"Fee","Taxa"
"If empty, configuration value will be used.","Se estiver vazio, o valor de configuração será usado."
"Payment Method","Forma de Pagamento"
"Payment Detail","Detalhes de pagamento"
"Withdraw","Retirar"
"Edit Withdraw '%1'","Editar Retirar '%1'"
"Transfer Amount","Valor da transferência"
"Real amount will be transfer to affiliate.","Valor real será repassado para afiliado."
"Affiliate Discount","Desconto de afiliado"
"Please input your friends email address.","Por favor, insira o endereço de e-mail de seus amigos."
"Saved successfully!","Salvo com sucesso!"
"Something went wrong while saving the Account.","Algo deu errado ao salvar a conta."
"Your account is not active. Please contact us.","Sua conta não está ativa. Entre em contato conosco."
"You have to agree with term and conditions.","Você tem que concordar com termos e condições."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Parabéns! Você se registrou com sucesso. Analisaremos sua conta de afiliado e informaremos assim que ela for aprovada!"
"Congratulations! You have successfully registered.","Parabéns! Você se registrou com sucesso."
"The withdraw has been canceled successfully.","A retirada foi cancelada com sucesso."
"Something went wrong while saving the request.","Algo deu errado ao salvar o pedido."
"Cannot find item.","Não é possível localizar o item."
"An error occur. Please contact us.","Ocorre um erro. Entre em contato conosco."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Seu pedido foi enviado com sucesso. Analisaremos seu pedido e o informaremos assim que for aprovado!"
"Your balance is not enough for request withdraw.","Seu saldo não é suficiente para a retirada do pedido."
"The withdraw amount have to equal or greater than %1","O montante levantado tem de ser igual ou superior a %1"
"The withdraw amount have to equal or less than %1","O montante levantado tem de ser igual ou inferior a %1"
"This account no longer exists.","Essa conta não existe mais."
"The Account has been deleted.","A conta foi excluída."
"Account to delete was not found.","Conta a ser excluída não foi encontrada."
"Accounts","Contas"
"Edit Account ""%1""","Editar Conta ""%1"""
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"The customer ""%1"" has registed as an affiliate already.","O cliente ""%1"" já se registrou como afiliado."
"Cannot find account referred.","Não é possível encontrar a conta referida."
"The Account has been created successfully.","A conta foi criada com êxito."
"The Account has been saved successfully.","A conta foi salva com êxito."
"The Banner has been deleted.","O banner foi excluído."
"Something went wrong while deleting banner data. Please review the action log and try again.","Algo deu errado ao excluir dados de banners. Revise o log de ações e tente novamente."
"We cannot find a banner to delete.","Não conseguimos encontrar um banner para apagar."
"This banner no longer exists.","Essa bandeira não existe mais."
"Banners","Banners"
"Edit Banner","Editar banner"
"This banner does not exist.","Essa bandeira não existe."
"You saved the banner.","Você salvou a faixa."
"We cannot save the banner.","Não podemos salvar a bandeira."
"This campaign no longer exists.","Essa campanha não existe mais."
"The Campaign has been deleted.","A campanha foi apagada."
"Campaign to delete was not found.","Campanha para excluir não foi encontrada."
"Campaigns","Campanhas"
"Please correct the data sent.","Corrija os dados enviados."
"Something went wrong while saving the Campaign.","Algo deu errado ao salvar a Campanha."
"The Campaign has been saved successfully.","A campanha foi salva com sucesso."
"Tier","Nível"
"Groups","Grupos"
"Something went wrong while saving the Group.","Algo deu errado ao salvar o Grupo."
"Cannot remove this group","Não é possível remover este grupo"
"The Group has been created successfully.","O Grupo foi criado com sucesso."
"The Transaction has been canceled.","A transação foi cancelada."
"The Transaction has been completed.","A transação foi concluída."
"Transactions","Transações"
"View Transaction ""%1""","Exibir transação ""%1"""
"This Transaction no longer exists.","Essa transação não existe mais."
"A total of %1 record(s) have been canceled.","Um total de %1 registro(s) foram cancelados."
"A total of %1 record(s) have been completed.","Um total de %1 registro(s) foi concluído."
"Account balance is not enough to create this transaction.","O saldo da conta não é suficiente para criar essa transação."
"The Transaction has been created.","A transação foi criada."
"Something went wrong while saving the Transaction.","Algo deu errado ao salvar a transação."
"This withdrawal no longer exists.","Essa retirada não existe mais."
"Withdraws","Desistências"
"Edit Withdraw ""%1""","Editar Retirar ""%1"""
"Edit Withdraw ""#%1""","Editar Retirar ""#%1"""
"A total of %1 record(s) have been approved successfully.","Um total de %1 registro(s) foi aprovado com êxito."
"A total of %1 record(s) have been cancelled.","Um total de %1 registro(s) foram cancelados."
"The Withdraw has been saved.","A retirada foi salva."
"Something went wrong while saving the Withdraw.","Algo deu errado ao salvar a retirada."
"My Affiliate","Meu Afiliado"
"My Credit (%1)","Meu Crédito (%1)"
"Active","Ativo"
"Inactive","Inativo"
"Need Approved","Necessidade aprovada"
"Enabled","Habilitado"
"Disabled","Desativado"
"Percent of cart total","Porcentagem do total do carrinho"
"Fixed amount discount for whole cart","Desconto de valor fixo para carrinho inteiro"
"Allow Guest","Permitir convidado"
"Affiliate Member Only","Apenas para membros afiliados"
"-- Please Select --","-- Selecione --"
"Category page","Página da categoria"
"Product page","Página do produto"
"Footer Link","Link do rodapé"
"Top Link","Link superior"
"Affiliate ID","ID de afiliado"
"Affiliate Code","Código de Afiliado"
"Hash","Hash"
"Parameter","Parâmetro"
"Address","Endereço"
"Paypal Email","PayPal E-mail"
"Transaction Id","ID da transação"
"Affiliate Campaign","Campanha de Afiliados"
"Campaign %1","Campanha %1"
"Affiliate account must be existed.","Conta de afiliado deve existir."
"Transaction amount cannot be zero.","O valor da transação não pode ser zero."
"Account balance has been reached the limit. Please contact to store owner.","O saldo da conta foi atingido no limite. Entre em contato com o proprietário da loja."
"Invalid transaction data for canceling.","Dados de transação inválidos para cancelamento."
"Account balance is not enough for canceling.","O saldo da conta não é suficiente para o cancelamento."
"Invalid transaction data to complete.","Dados de transação inválidos a serem concluídos."
"Maximum amount allowed in account balance is %1.","O valor máximo permitido no saldo da conta é %1."
"Action model is invalid for %1","O modelo de ação é inválido para %1"
"Changed by Admin","Alterado pelo administrador"
"Get commission for order %1","Obter comissão para o pedido %1"
"Taken back commission for refunding order %1","Comissão retomada para ordem de reembolso %1"
"Subtract balance for withdraw request","Subtrair saldo para solicitação de saque"
"On Hold","Em espera"
"Completed","Concluído"
"Cancelled","Cancelado"
"Commission","Comissão"
"Paid","Pago"
"Admin","Administrador"
"The amount request is not enough to pay for fee.","O valor pedido não é suficiente para pagar a taxa."
"Cannot create transaction for this withdraw.","Não é possível criar transação para essa retirada."
"Invalid withdraw data for canceling.","Dados de retirada inválidos para cancelamento."
"Invalid withdraw data for approved.","Retirar dados inválidos para aprovados."
"Pending","Pendente"
"The Account has been saved.","A conta foi salva."
"Affiliate Welcome homepage content","Conteúdo da página inicial de boas-vindas do afiliado"
"Affiliate referfriend description","Descrição do afiliado referfriend"
"Affiliate terms & conditions","Termos e condições do afiliado"
"Delete ""%1""","Excluir ""%1"""
"Are you sure?","Tem certeza?"
"Type (1st Order)","Tipo (1ª Ordem)"
"Value (1st Order)","Valor (1ª Ordem)"
"Type (Next orders)","Tipo (Próximos pedidos)"
"Value (Next orders)","Valor (Próximos pedidos)"
"Action","Ação"
"Add","Adicionar"
"Delete","Excluir"
"No","Não"
"Yes","Sim"
"Link","Link"
"Preview","Pré-visualização"
"Copy and past this source code into your website or forum.","Copie e passe este código-fonte em seu site ou fórum."
"No banner available","Nenhum banner disponível"
"Credit Information","Informações de crédito"
"Created Date","Data de criação"
"No transaction found!","Nenhuma transação encontrada!"
"Referral Url and Code","URL e código de referência"
"Refer Url","URL de referência"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","As referências que acessam essa URL são conectadas como referências assim que se inscrevem ou fazem um pedido."
"Refer Code","Código de referência"
"Referrals should enter the code in Coupon form at shopping cart page.","As referências devem inserir o código no formulário de cupom na página do carrinho de compras."
"Refer Email","Indicar e-mail"
"Referrals can enter your e-mail address when signing up affiliate account.","Os indicados podem inserir seu endereço de e-mail ao se inscrever na conta de afiliado."
"Referral Via Social Networks","Encaminhamento via redes sociais"
"Send Invitation","Enviar convite"
"Enter your friends' emails separated by comma","Digite os e-mails de seus amigos separados por vírgula"
"Add from Address Book","Adicionar do Catálogo de Endereços"
"Subject","Assunto"
"Your message","Sua mensagem"
"Short Message","Mensagem curta"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} será substituído pelo nome do seu amigo com base na conta de e-mail. Você não deve editá-lo até saber o que está fazendo."
"Send","Enviar"
"Affiliate Subscriptions","Assinaturas de Afiliados"
"Receive affiliate email.","Receba e-mails de afiliados."
"Affiliate Information","Informações do Afiliado"
"Customer email or Affiliate code","E-mail do cliente ou código de afiliado"
"Create an Account","Criar uma conta"
"Request Withdraw","Solicitação de retirada"
"Request Amount","Valor da solicitação"
"Select Payment Method","Selecione a forma de pagamento"
"Withdraw Policy","Política de retirada"
"Send Request","Enviar solicitação"
"Paypal Email Associate","PayPal e-mail associado"
"Paypal Email Address","PayPal endereço de e-mail"
"Withdraw History","Retirar a história"
"Requested Date","Data solicitada"
"Withdraw Method","Método de retirada"
"View","Ver"
"Are you sure you want to cancel this withdraw?","Tem certeza de que deseja cancelar essa retirada?"
"No withdraw found!","Nenhuma retirada encontrada!"
"Requested Amount","Valor solicitado"
"Net. Amount","Rede. Quantidade"
"Resolve Date","Resolver data"
"Back","Voltar"
"%1 for first order.","%1 para primeira ordem."
"%1 of Order Total for first order.","%1 do Total de Pedidos para primeira ordem."
"%1 of Order Profit for first order.","%1 do Lucro da Ordem para a primeira ordem."
"%1 for next orders.","%1 para os próximos pedidos."
"%1 of Order Total for next orders.","%1 do Total de Pedidos para os próximos pedidos."
"%1 of Order Profit for next orders.","%1 do Lucro do Pedido para os próximos pedidos."
"Discount policy","Política de descontos"
"Valid Date","Data válida"
"Always","Sempre"
"from","de"
"to","para"
"Affiliate account approved","Conta de afiliado aprovada"
"%name,","%nome,"
"Welcome to our Affiliate program.","Bem-vindo ao nosso programa de afiliados."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Sua conta de afiliado é aprovada e vamos começar com os recursos pendentes do programa de afiliados."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Afiliado é a extensão Magento perfeita e interessante e parece ser o modelo de negócio, onde você tem o papel de colaboradores. Você pode recomendar outros clientes para os produtos do vendedor e, em seguida, fazer um grande público de compras para si mesmo. Isso é ganhar métodos na internet, embora você não precise de nenhum produto ou site privado."
"Specially, you will receive the typical and wonderful benefits following as:","Especialmente, você receberá os benefícios típicos e maravilhosos a seguir como:"
"Earning commission","Ganhar comissão"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Vindo para o Afiliado, simplesmente, você vai escolher qualquer produto do site do vendedor, e semear o link do produto para as pessoas que precisam. Se o apresentador comprar o item, você receberá percentual por pedido."
"Using available template","Usando o modelo disponível"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Além disso, são fornecidos modelos como e-mail, banner, boletins informativos, etc. pelo site do vendedor. Você enviará convites para seus clientes-alvo por meio desses modelos, o que faz com que você construa a rede de forma fácil e perfeita."
"Tracking history activities","Rastreando atividades do histórico"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","O afiliado ajuda você a gerenciar o processo de envio de convite, o nome do destinatário, seu lucro, etc. Portanto, você pode acompanhar seu trabalho detalhadamente por si mesmo."
"Giving cash when achieving the target","Dar dinheiro ao atingir a meta"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Afiliado dar chances interessantes de ganhar dinheiro enquanto você não precisa de nenhum produto ou serviço, você só anuncia o produto do site do vendedor por métodos de publicidade disponíveis. Até que a receita que eles ganham atinja as taxas oferecidas, eles vão retirar dinheiro de suas contas."
"Thank you again, %store_name","Obrigado novamente, %store_name"
"Welcome to our affiliate program","Bem-vindo ao nosso programa de afiliados"
"When using our affiliate program, you can use basics features in the following:","Ao usar nosso programa de afiliados, você pode usar recursos básicos no seguinte:"
"Let come to Affiliate program to experience attractive opportunities!","Vamos ao programa de afiliados para experimentar oportunidades atraentes!"
"Your balance has been updated!","Seu saldo foi atualizado!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Atualizamos o saldo para que você possa ter informações relevantes da sua comissão ou pagamento. Este e-mail ajuda você a controlar suas atividades ativamente."
"The transaction detail","O detalhe da transação"
"Transaction title: %title","Título da transação: %title"
"Transaction amount: %amount",Valor da transação: %amount
"Transaction status: %status","Status da transação: %status"
"Current balance: %balance",Saldo corrente: %balance
"Withdraw request complete!","Retirar pedido completo!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Gostaríamos de informar que seu pedido de retirada, que foi criado em %request_at foi concluído. Você receberá dinheiro depois de alguns dias, dependendo do método de pagamento que você escolher."
"The withdraw detail","O detalhe da retirada"
"Withdraw Id: %withdraw_id","Retirar ID: %withdraw_id"
"Transfer Amount: %amount","Valor da transferência: %amount"
"Request Amount: %amount",Valor da solicitação: %amount
"Tax/fee: %fee",Imposto/taxa: %fee
"Payment Method: %payment","Forma de pagamento: %payment"
"You can check your withdraw by ","Você pode verificar seu saque por "
"logging into your account","Entrando na sua conta"
"Affiliate","Afiliado"
"General","Geral"
"Enable","Habilitar"
"Cookie Expiration","Expiração do cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","Dia(s). O número de dias para o administrador armazenar cookies deste programa. Padrão: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">saiba mais</a>"
"Allow overriding cookies","Permitir cookies de substituição"
"Allow overriding exist affiliate cookie.","Permitir a substituição de cookie de afiliado existente."
"Show Affiliate link on","Mostrar link de afiliado em"
"Default page","Página padrão"
"Affiliate homepage content","Conteúdo da página inicial do afiliado"
"Select CMS Static Block.","Selecione Bloco Estático CMS."
"Display Policy Page","Página de Política de Exibição"
"Select CMS Page for Policy Page","Selecionar página CMS para página de política"
"Select CMS page","Selecionar página CMS"
"Affiliate URL","URL do afiliado"
"URL Style","Estilo de URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>",Ex: <br />Parâmetro: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>
"Custom parameter","Parâmetro personalizado"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Isso será usado em URLs como: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Valor do parâmetro"
"The length of Affiliate code","O comprimento do código de afiliado"
"It should be greater than 3, and smaller than 32. Default is 6.","Deve ser maior que 3 e menor que 32. O padrão é 6."
"Account Configuration","Configuração da conta"
"Affiliate Sign up","Cadastre-se Afiliado"
"Default Affiliate Group","Grupo de afiliados padrão"
"Require admin's approval","Exigir aprovação do administrador"
"Checked ""Email notification"" by default","Marcado ""Notificação por e-mail"" por padrão"
"Term and condition","Termo e condição"
"Enable Terms and Conditions","Ativar Termos e Condições"
"Checkbox Text","Texto da caixa de seleção"
"Terms and Conditions Title","Título dos Termos e Condições"
"Terms and Conditions Content","Conteúdo dos Termos e Condições"
"Select CMS Block.","Selecione Bloco CMS."
"Checkbox is checked by default","Caixa de seleção está marcada por padrão"
"Account Balance","Saldo da Conta"
"Maximum of Affiliate Balance","Saldo máximo de afiliados"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","O saldo máximo do Afiliado. O afiliado não pode receber comissão se o saldo for igual a esse valor. Vazio ou Zero não é limitação."
"Allow negative balance","Permitir saldo negativo"
"Commission Configuration","Configuração da Comissão"
"Earn commission from tax","Ganhe comissão de impostos"
"Earn commission from shipping fee","Ganhe comissão com a taxa de envio"
"Commission calculation process","Processo de cálculo da comissão"
"Allow Affiliate receiving commission when Invoice created","Permitir que o Afiliado receba comissão quando a Fatura for criada"
"Hold commission transactions for","Manter transações de comissão para"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Dedução de comissão do saldo do Afiliado quando o pedido for reembolsado/cancelado"
"Withdraw Configuration","Retirar configuração"
"Allow withdraw request","Permitir solicitação de retirada"
"Payment Methods","Formas de Pagamento"
"The minimum balance in affiliate account for requesting withdraw","O saldo mínimo na conta de afiliado para solicitar saque"
"Minimum withdraw amount","Valor mínimo de retirada"
"Include Fee","Taxa de inclusão"
"Maximum withdraw amount","Valor máximo de retirada"
"Email Configuration","Configuração de e-mail"
"Email Sender","Remetente de e-mail"
"Account Email","E-mail da conta"
"Send Welcome Email","Enviar e-mail de boas-vindas"
"Welcome Email","E-mail de boas-vindas"
"Welcome Email After Account Approved","E-mail de boas-vindas após a aprovação da conta"
"This email will be sent instead of welcome email, after approving account.","Este e-mail será enviado em vez de e-mail de boas-vindas, após a aprovação da conta."
"Transaction Email","E-mail de transação"
"Send Transaction Email","Enviar e-mail de transação"
"Update Balance Email","Atualizar saldo de e-mail"
"Withdraw Email","Retirar e-mail"
"Send Withdraw Email","Enviar e-mail de retirada"
"Withdraw Complete Email","Retirar e-mail completo"
"Refer Friends Configuration","Configuração de Indicar Amigos"
"Enable Refer Friends Feature","Ativar recurso Indique Amigos"
"Refer Sharing Email","Indicar e-mail de compartilhamento"
"Default Refer Url","URL de referência padrão"
"Select block to show referfriend description","Selecione o bloco para mostrar a descrição do referfriend"
"Refer friend homepage content","Indique o conteúdo da página inicial de amigos"
"AddThis.com ID","ID AddThis.com"
"Use Cloudsponge to retrieve email contacts","Use o Cloudsponge para recuperar contatos de e-mail"
"Cloudsponge Key","Chave Cloudsponge"
"Sending Email Content","Enviando conteúdo de e-mail"
"Default Email Subject","Assunto padrão do e-mail"
"Default Email Body","Corpo do e-mail padrão"
"Default Message Shared via Social","Mensagem padrão compartilhada via social"
"ID","ID"
"Email","E-mail"
"Phone","Telefone"
"ZIP/Post Code","CEP/CEP"
"Country","País"
"State/Province","Estado/Província"
"Signed-up Point","Ponto inscrito"
"Website","Site"
"Created At","Criado em"
"Add New Account","Adicionar nova conta"
"Delete Accounts","Excluir contas"
"Are you sure you want to delete selected Accounts?","Tem certeza de que deseja excluir Contas selecionadas?"
"Total Commission","Comissão Total"
"Add New Banner","Adicionar novo banner"
"Delete Banners","Excluir banners"
"Are you sure you want to delete selected banners?","Tem certeza de que deseja excluir banners selecionados?"
"URL","URL"
"Campaign","Campanha"
"Created","Criado"
"Add New Campaign","Adicionar nova campanha"
"Delete Campaigns","Excluir campanhas"
"Are you sure you wan't to delete selected Campaigns?","Tem certeza de que não deseja excluir as Campanhas selecionadas?"
"Add New Group","Adicionar novo grupo"
"Delete Groups","Excluir grupos"
"Are you sure you want to delete selected groups?","Tem certeza de que deseja excluir grupos selecionados?"
"Add New Transaction","Adicionar nova transação"
"Complete Transactions","Transações completas"
"Are you sure you want to complete selected transactions?","Tem certeza de que deseja concluir as transações selecionadas?"
"Cancel Transactions","Cancelar transações"
"Are you sure you want to cancel selected Transactions?","Tem certeza de que deseja cancelar as transações selecionadas?"
"Action Type","Tipo de ação"
"Amount Used","Quantidade Utilizada"
"Amount Hold","Retenção de Valor"
"Current Balance","Saldo Atual"
"Store","Loja"
"Holding Date","Data de Realização"
"Add New Withdraw","Adicionar nova retirada"
"Approve","Aprovar"
"Approve Withdraws","Aprovar retiradas"
"Are you sure you want to approve selected Withdraws?","Tem certeza de que deseja aprovar os Saques selecionados?"
"Cancel Withdraws","Cancelar retiradas"
"Are you sure you want to cancel selected Withdraws?","Tem certeza de que deseja cancelar os saques selecionados?"
"Transaction ID","ID da transação"
"Transferred","Transferido"
"Account Dashboard","Painel da conta"
"Home","Casa"
"Signup","Inscrição"
"Refer Friend","Indique Amigo"
"Setting","Cenário"
